time,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-0.0055726636548699,0.005792059861754541,0.011342783895935977,-0.00010969810344232086,-0.00846869358574717,0.008556452068501027,-0.002150082827469489,-0.006845161654800821,-0.002150082827469489,0.01777109275765598,0.01777109275765598,0.011562180102820618
0.002,-0.038926868078376795,0.04045942193973022,0.07923303463197166,-0.0007662769306767086,-0.059156579048241904,0.05976960059278327,-0.01501902784126349,-0.047815680474226616,-0.01501902784126349,0.1241368627696268,0.1241368627696268,0.08076558849332509
0.004,-0.12209130930479029,0.1268980537656088,0.24850868862431721,-0.0024033722304092576,-0.1855403361875947,0.1874630339719221,-0.04710609571602145,-0.14997042717753767,-0.04710609571602145,0.38934630132629977,0.38934630132629977,0.25331543308513577
0.006,-0.22943303426485107,0.23846583088945153,0.46699558549184256,-0.004516398312300218,-0.3486659497095768,0.352279068359417,-0.08852140692108429,-0.2818232546875336,-0.08852140692108429,0.7316565265926354,0.7316565265926354,0.476028382116443
0.008,-0.29455976099947895,0.3054897757171162,0.5989126560034546,-0.0054650073588185955,-0.447304648858037,0.451632775503715,-0.113235298404926,-0.3603891442581942,-0.1127965059911567,0.9374597308844033,0.9374597308844033,0.6104789197210572
0.01,-0.28954931636517706,0.2958662707249506,0.5844576352232601,-0.0031475073695424673,-0.4374824517276524,0.4396720072303272,-0.10842046851940472,-0.3444539458162659,-0.10493850800361706,0.9086078335284712,0.9086078335284712,0.595438391987843
0.012,-0.25719240696414775,0.24929503150147855,0.5061340180308309,0.004003375803713852,-0.381839922714887,0.3774611868556892,-0.0869442239943485,-0.27486895736537775,-0.07398009032237068,0.7661106555123106,0.7661106555123106,0.5139281515727733
0.014,-0.2498409941337393,0.21936917483655446,0.46964804890135126,0.01533396129584228,-0.3595146117416722,0.3444872146114406,-0.06733120522165018,-0.21159790368209638,-0.03665083698110646,0.6710668886901412,0.6710668886901412,0.4719080947238758
0.016,-0.2725041957695984,0.21656983616216546,0.49001261206496094,0.02805865212330929,-0.38077830501967885,0.3533088743489317,-0.054051104346505854,-0.17226368562767902,-0.0010773447215319423,0.6538119059540628,0.6538119059540628,0.4828151232164554
0.018,-0.2963778238944964,0.21419311744943437,0.5113555513058904,0.041271452480920234,-0.4036279926925134,0.36260916881241606,-0.03801421514299689,-0.13741502905836958,0.03474069143246024,0.6407646156875011,0.6407646156875011,0.48603705832064015
0.02,-0.30201918470857947,0.18715360482450888,0.48936116307348865,0.05799090023755188,-0.3961924233315089,0.33793825266848854,-0.008860916063487661,-0.08800844264487274,0.07603394740475523,0.5716859378300772,0.5716859378300772,0.4296492467041364
0.022,-0.29485365576973,0.13604646380303254,0.43065354592997246,0.08045137637372833,-0.3639592404498069,0.2832137173576831,0.033832908708698914,-0.02574702262616752,0.12352958469058081,0.4549740639861789,0.4549740639861789,0.3169827054645707
0.024,-0.28944759623173033,0.0801865873368661,0.3694115159871051,0.10589256341001543,-0.3307341654676086,0.2250631113932367,0.08081782232766876,0.03627697932977667,0.17273639207372812,0.3343608781957086,0.3345802744025932,0.1892038581987235
0.026,-0.29274484246501975,0.03556706180205854,0.32832876066144906,0.12977668588311186,-0.3112911513839877,0.18222511041760509,0.12507002054466984,0.09293772067831335,0.22193922080762357,0.23386678544322748,0.23537739968389237,0.07774286529455134
0.028,-0.3031778390979726,0.0035874706587021078,0.3068913952567325,0.15094790132416336,-0.3050024488729699,0.15480854725706972,0.16921703162316906,0.15187971631769717,0.27643989656444357,0.14410060611616052,0.14877603481153212,-0.018938159761454694
0.03,-0.31733325189694295,-0.02311948792037047,0.29428702597470907,0.17151528688802564,-0.3052439806057494,0.1342459162281915,0.21841602462268253,0.22112621742245564,0.3405638452978571,0.04855638513740043,0.05726176270205434,-0.1171573557331847
0.032,-0.33237090914074546,-0.05069507906946822,0.2817414750466437,0.1929323067909565,-0.306459305416847,0.11390000820944367,0.2718415476832911,0.2992556125338534,0.40910804238506965,-0.05381267461186613,-0.042537378386510886,-0.221697214972354
0.034,-0.3443339172784169,-0.07982519182720926,0.26465609117705957,0.21339727185297266,-0.304365669446329,0.09137614055205803,0.3263370142280647,0.38181176238139375,0.4697003442755152,-0.1512466087373312,-0.13951410184455137,-0.32052734810198197
0.036,-0.3488949087461045,-0.10776355770423515,0.2412271048628171,0.22942696996763157,-0.29568115481995993,0.06665804413824286,0.3836965099633858,0.47131548527214245,0.511387059086827,-0.23266899617943698,-0.22124242285288206,-0.39767256106690496
